radius,pressure,mass
1,1.0e-15,1.0e-16
101,9.99999488732811e-16,1.0131425012808156e-6
201,9.999982523027286e-16,7.98536499497727e-6
301,9.999962061857254e-16,2.6816724874868838e-5
401,9.999933465416664e-16,6.340723603345275e-5
501,9.999896727097681e-16,0.0001236568472672957
601,9.999851845112657e-16,0.00021346542065295255
701,9.999798818892632e-16,0.0003387327099222779
801,9.999737648285978e-16,0.0005053583388382021
901,9.99966833332033e-16,0.0007192417795712229
1001,9.999590874117022e-16,0.0009862823310767647
1101,9.999505270855807e-16,0.0013123790974735375
1201,9.999411523758761e-16,0.0017034309664230255
1301,9.999309633082285e-16,0.002165336587510231
1401,9.999199599112885e-16,0.002703994350625798
1501,9.999081422164813e-16,0.0033253023643496442
1601,9.998955102578677e-16,0.0040351584343362255
1701,9.998820640720614e-16,0.004839460041701557
1801,9.998678036981746e-16,0.005744104321412117
1901,9.99852729177785e-16,0.006754988040675761
2001,9.998368405549122e-16,0.007878007577334771
2101,9.998201378760026e-16,0.009119058898261157
2201,9.998026211899177e-16,0.010484037537754353
2301,9.99784290547927e-16,0.011978838575941418
2401,9.997651460037024e-16,0.01360935661717987
2501,9.99745187613313e-16,0.015381485768463283
2601,9.99724415435223e-16,0.017301119617829774
2701,9.997028295302887e-16,0.01937415121277349
2801,9.99680429961756e-16,0.02160647303865924
2901,9.9965721679526e-16,0.02400397699714039
3001,9.996331900988222e-16,0.02657255438458014
3101,9.996083499428508e-16,0.0293180958704763
3201,9.995826964001382e-16,0.03224649147588973
3301,9.995562295458616e-16,0.03536363055187653
3401,9.995289494575807e-16,0.03867540175792409
3501,9.995008562152387e-16,0.042187693040391196
3601,9.994719499011596e-16,0.04590639161095224
3701,9.994422306000493e-16,0.04983738392504571
3801,9.994116983989939e-16,0.05398655566032706
3901,9.99380353387459e-16,0.05835979169512608
4001,9.993481956572902e-16,0.06296297608690891
4101,9.993152253027113e-16,0.06780199205074483
4201,9.992814424203237e-16,0.0728827219377779
4301,9.99246847109107e-16,0.07821104721370364
4401,9.992114394704168e-16,0.08379284843725086
4501,9.991752196079853e-16,0.08963400523866868
4601,9.991381876279197e-16,0.09574039629821902
4701,9.991003436387027e-16,0.1021178993246745
4801,9.990616877511907e-16,0.10877239103382207
4901,9.990222200786135e-16,0.11570974712697236
5001,9.989819407365744e-16,0.12293584226947488
5101,9.989408498430483e-16,0.13045655006923926
5201,9.988989475183818e-16,0.13827774305526258
5301,9.98856233885292e-16,0.14640529265616306
5401,9.988127090688663e-16,0.15484506917871999
5501,9.987683731965618e-16,0.1636029417864202
5601,9.987232263982035e-16,0.17268477847801128
5701,9.986772688059847e-16,0.18209644606606132
5801,9.986305005544654e-16,0.1918438101555257
5901,9.985829217805723e-16,0.20193273512232093
6001,9.985345326235972e-16,0.21236908409190536
6101,9.98485333225197e-16,0.22315871891786732
6201,9.98435323729392e-16,0.23430750016052065
6301,9.983845042825662e-16,0.24582128706550768
6401,9.983328750334653e-16,0.2577059375424097
6501,9.982804361331966e-16,0.2699673081433654
6601,9.982271877352274e-16,0.2826112540416969
6701,9.981731299953854e-16,0.2956436290105441
6801,9.981182630718566e-16,0.3090702854015068
6901,9.980625871251846e-16,0.3228970741232953
7001,9.9800610231827e-16,0.3371298446203893
7101,9.979488088163696e-16,0.3517744448517051
7201,9.97890706787095e-16,0.36683672126927164
7301,9.978317964004117e-16,0.38232251879691503
7401,9.977720778286385e-16,0.39823768080895233
7501,9.97711551246446e-16,0.4145880491088938
7601,9.976502168308563e-16,0.4313794639081545
7701,9.975880747612412e-16,0.44861776380477525
7801,9.975251252193216e-16,0.4663087857621524
7901,9.974613683891663e-16,0.4844583650877778
8001,9.973968044571911e-16,0.5030723354119877
8101,9.97331433612158e-16,0.5221565286667217
8201,9.97265256045173e-16,0.5417167750642915
8301,9.971982719496865e-16,0.5617589030761595
8401,9.971304815214912e-16,0.5822887394117273
8501,9.970618849587214e-16,0.603312108997135
8601,9.969924824618515e-16,0.6248348349540702
8701,9.96922274233695e-16,0.6468627385785874
8801,9.96851260479404e-16,0.6694016393199389
8901,9.967794414064667e-16,0.6924573547594147
9001,9.967068172247074e-16,0.7160357005891951
9101,9.966333881462847e-16,0.7401424905912126
9201,9.965591543856907e-16,0.7647835366160262
9301,9.96484116159749e-16,0.7899646485617056
9401,9.964082736876146e-16,0.8156916343527276
9501,9.963316271907715e-16,0.8419702999188838
9601,9.962541768930323e-16,0.868806449174199
9701,9.961759230205363e-16,0.8962058839958624
9801,9.960968658017487e-16,0.9241744042031699
9901,9.960170054674588e-16,0.9527178075364782
10001,9.959363422507794e-16,0.9818418896361715
10101,9.958548763871446e-16,1.0115524440216397
10201,9.957726081143092e-16,1.0418552620702692
10301,9.956895376723469e-16,1.072756132996446
10401,9.95605665303649e-16,1.1042608438305708
10501,9.95520991252923e-16,1.136375179398088
10601,9.954355157671916e-16,1.1691049222985264
10701,9.953492390957907e-16,1.202455852884552
10801,9.952621614903682e-16,1.2364337492410358
10901,9.951742832048827e-16,1.271044387164133
11001,9.95085604495602e-16,1.3062935401403768
11101,9.949961256211013e-16,1.3421869793257835
11201,9.949058468422626e-16,1.378730473524973
11301,9.94814768422272e-16,1.4159297891703024
11401,9.947228906266194e-16,1.4537906903010125
11501,9.946302137230958e-16,1.4923189385423887
11601,9.945367379817928e-16,1.5315202930849359
11701,9.944424636751006e-16,1.571400510663567
11801,9.943473910777064e-16,1.611965345536806
11901,9.942515204665931e-16,1.6532205494660055
12001,9.941548521210372e-16,1.6951718716945778
12101,9.94057386322608e-16,1.7378250589272413
12201,9.939591233551653e-16,1.781185855309281
12301,9.938600635048579e-16,1.8252600024058243
12401,9.937602070601222e-16,1.870053239181131
12501,9.936595543116807e-16,1.9155713019778988
12601,9.935581055525401e-16,1.9618199244965837
12701,9.934558610779892e-16,2.008804837774736
12801,9.933528211855981e-16,2.0565317701663495
12901,9.932489861752159e-16,2.105006447321231
13001,9.931443563489691e-16,2.15423459216438
13101,9.9303893201126e-16,2.2042219248753865
13201,9.92932713468765e-16,2.2549741628678452
13301,9.928257010304326e-16,2.3064970207687843
13401,9.92717895007482e-16,2.3587962103981117
13501,9.92609295713401e-16,2.411877440748076
13601,9.924999034639443e-16,2.4657464179627433
13701,9.92389718577132e-16,2.5204088453174935
13801,9.922787413732471e-16,2.57587042319853
13901,9.921669721748348e-16,2.632136849082406
14001,9.920544113066994e-16,2.689213817515571
14101,9.919410590959034e-16,2.747107020093928
14201,9.918269158717652e-16,2.805822145442415
14301,9.917119819658573e-16,2.865364879194598
14401,9.915962577120045e-16,2.925740903972283
14501,9.914797434462818e-16,2.9869558993651464
14601,9.913624395070128e-16,3.049015541910381
14701,9.912443462347676e-16,3.1119255050723598
14801,9.91125463972361e-16,3.1756914592223198
14901,9.910057930648501e-16,3.24031907161806
15001,9.908853338595332e-16,3.3058140063836596
15101,9.907640867059468e-16,3.372181924489214
15201,9.906420519558643e-16,3.4394284837305875
15301,9.905192299632942e-16,3.5075593387091857
15401,9.903956210844771e-16,3.5765801408117466
15501,9.90271225677885e-16,3.6464965381901475
15601,9.90146044104218e-16,3.7173141757412336
15701,9.90020076726403e-16,3.789038695086663
15801,9.898933239095919e-16,3.8616757345527724
15901,9.897657860211586e-16,3.9352309291504595
16001,9.896374634306978e-16,4.009709910555086
16101,9.895083565100224e-16,4.0851183070864
16201,9.893784656331615e-16,4.161461743688475
16301,9.892477911763581e-16,4.2387458419096715
16401,9.891163335180679e-16,4.3169762198826165
16501,9.889840930389557e-16,4.396158492304203
16601,9.888510701218945e-16,4.476298270415609
16701,9.887172651519625e-16,4.557401161982334
16801,9.885826785164416e-16,4.63947277127426
16901,9.884473106048147e-16,4.72251869904573
17001,9.883111618087637e-16,4.806544542515645
17101,9.88174232522167e-16,4.891555895347584
17201,9.88036523141098e-16,4.9775583476299445
17301,9.878980340638222e-16,5.064557485856099
17401,9.87758765690795e-16,5.152558892904578
17501,9.876187184246599e-16,5.24156814801927
17601,9.874778926702457e-16,5.331590826789642
17701,9.873362888345644e-16,5.422632501130986
17801,9.87193907326809e-16,5.514698739264676
17901,9.870507485583514e-16,5.60779510569846
18001,9.869068129427392e-16,5.7019271612067595
18101,9.867621008956947e-16,5.7971004628110006
18201,9.866166128351111e-16,5.893320563759962
18301,9.864703491810515e-16,5.990593013510145
18401,9.863233103557457e-16,6.088923357706162
18501,9.861754967835879e-16,6.188317138161157
18601,9.860269088911346e-16,6.288779892837233
18701,9.858775471071021e-16,6.390317155825918
18801,9.857274118623637e-16,6.492934457328635
18901,9.85576503589948e-16,6.5966373236372124
19001,9.854248227250359e-16,6.701431277114401
19101,9.85272369704958e-16,6.807321836174425
19201,9.851191449691933e-16,6.9143145152635475
19301,9.84965148959365e-16,7.022414824840665
19401,9.848103821192396e-16,7.131628271357918
19501,9.84654844894723e-16,7.241960357241334
19601,9.844985377338594e-16,7.353416580871478
19701,9.843414610868277e-16,7.466002436564145
19801,9.841836154059394e-16,7.57972341455106
19901,9.840250011456361e-16,7.694585000960607
20001,9.83865618762487e-16,7.810592677798587
20101,9.83705468715186e-16,7.927751922928989
20201,9.835445514645492e-16,8.046068210054793
20301,9.83382867473513e-16,8.16554700869879
20401,9.832204172071302e-16,8.286193784184428
20501,9.830572011325687e-16,8.408013997616692
20601,9.828932197191082e-16,8.531013105862987
20701,9.827284734381378e-16,8.655196561534067
20801,9.82562962763153e-16,8.78056981296497
20901,9.823966881697533e-16,8.907138304195989
21001,9.8222965013564e-16,9.034907474953668
21101,9.820618491406125e-16,9.16388276063181
21201,9.818932856665664e-16,9.29406959227252
21301,9.817239601974907e-16,9.425473396547279
